anipal	https://anipal-two.vercel.app	Anipal	~/anipal (Vercel)
game-portal	https://game-portal.pages.dev	Game Portal	~/game-portal (Cloudflare Pages)
codelog	https://codelog-three.vercel.app	codelog	~/codelog (Vercel)
claude-code-finder	https://claude-code-finder.pages.dev	逆引き辞典	~/claude-code-finder (Cloudflare Pages)
activate-board	https://naitei-activate.web.app	アクティベ	~/activate-board (Firebase Hosting)
meets-mockup	https://meets-mockup.web.app	MeetS Mockups	ca-sites/design-mockups (Firebase Hosting)
splitmate	https://splitmate.vercel.app	-	~/splitmate (Vercel)
info-collector	https://info-collector-a5y.pages.dev	情報収集	~/情報収集 (Cloudflare Pages)
claude-dex	https://ry071702-prog.github.io/claude-dex/	claude-dex	~/claude-dex (GitHub Pages)
tokyo-rail-comfort	https://tokyo-rail-comfort.vercel.app	東京レイルコンフォート	~/tokyo-rail-comfort (Vercel)
